Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM,GHG Unit,Factor, Qty , [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , tCO2e , Apply , tCO2e ,Notes
Scope 2,Green Electricity,Green Electricity Wind Grid ,Not-Defined3,kWh,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Water supply,17_404_4005_1_1,m3,kg CO2e,0.1913,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Products of agriculture,SPEND-SIC-2022-01,GBP,kg CO2e,2.633028618,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Products of forestry,SPEND-SIC-2022-02,GBP,kg CO2e,0.111688483,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Fishing products and services ,SPEND-SIC-2022-03,GBP,kg CO2e,0.74169991,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Coal and lignite,SPEND-SIC-2022-05,GBP,kg CO2e,1.197833717,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Crude petroleum and natural gas           ,SPEND-SIC-2022-06,GBP,kg CO2e,0.509563709,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Other mining and quarrying products           ,SPEND-SIC-2022-08,GBP,kg CO2e,0.836805901,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Mining support services             ,SPEND-SIC-2022-09,GBP,kg CO2e,2.07985706,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Preserved meat products           ,SPEND-SIC-2022-10.1,GBP,kg CO2e,0.870598049,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Processed seafood, fruit and vegetables       ",SPEND-SIC-2022-10.2 -3,GBP,kg CO2e,0.83192564,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Vegetable and animal oils and fats          ,SPEND-SIC-2022-10.4,GBP,kg CO2e,0.871782257,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Dairy products              ,SPEND-SIC-2022-10.5,GBP,kg CO2e,1.126436088,,,,,,,,,,,,,, -   ,100%, -   ,
