Year,ID,Method,Scope,Category ,Level 2,Level 3,Level 4,Report Label,UOM,GHG/Unit,GHG Conversion Factor 2025,Valid From,Valid To,Source
2022,SPEND-PROD-2022-10-1-1,Spend,Scope 3,Pre-primary and primary education        ,,,,Pre-primary and primary education        ,GBP,kg CO2e,0.395229419,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-10-2-1,Spend,Scope 3,Secondary education          ,,,,Secondary education          ,GBP,kg CO2e,0.395229419,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-10-3-1,Spend,Scope 3,Post-secondary non-tertiary education         ,,,,Post-secondary non-tertiary education         ,GBP,kg CO2e,0.395229419,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-10-4-1,Spend,Scope 3,Tertiary education          ,,,,Tertiary education          ,GBP,kg CO2e,0.395229419,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-10-5-1,Spend,Scope 3,Education not definable by level       ,,,,Education not definable by level       ,GBP,kg CO2e,0.395229419,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-11-1-1,Spend,Scope 3,"Restaurants, cafes and the like       ",,,,"Restaurants, cafes and the like       ",GBP,kg CO2e,0.842888291,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-11-1-2,Spend,Scope 3,Canteens           ,,,,Canteens           ,GBP,kg CO2e,0.842888291,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-11-2-1,Spend,Scope 3,Accommodation services          ,,,,Accommodation services          ,GBP,kg CO2e,0.467596442,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-1-1,Spend,Scope 3,Hairdressing salons and personal grooming establishments      ,,,,Hairdressing salons and personal grooming establishments      ,GBP,kg CO2e,0.463321798,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-12-1-2,Spend,Scope 3,Electrical appliances for personal care       ,,,,Electrical appliances for personal care       ,GBP,kg CO2e,0.463321798,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
